,names,Lat,Long,uni
78,Карагандинский  университет им.Е.А.Букетова,49.769944688198,73.125302788394,True
79,Карагандинский экономический университет Казпотребсоюза,49.779753987575,73.06254136053,True
80,"Академия ""Bolashaq""",49.816806483929,73.085858138784,True
81,Центрально-Казахстанская академия,49.797879404807,73.099701347555,True
82,Рудненский индустриальный институт,52.963799407223,63.091810635799,True
83,Костанайский инженерно-экономический университет им. М. Дулатова,53.202511902527,63.597729487157,True
84,Костанайский региональный университет имени А. Байтурсынова ,53.213819299458,63.628617806187,True
85,Аркалыкский  педагогический институт имени И.Алтынсарина,50.250321114552,66.914282863454,True
86,Костанайский социально-технический университет имени академика Зулхарнай Алдамжар,53.245002200475,63.678215287476,True
87,Кызылординский университет им.Коркыт Ата,44.843590103483,65.50457096915,True
88,"Кызылординский университет ""Болашак""",44.82979512641042,65.51269792696189,True
89,Кызылординский институт технологии и сервиса,44.835236204233,65.534151808294,True
90,Каспийский  университет технологии и инжиниринга им. Ш.Есенова,43.681274931513,51.16793596998,True
91,Торайгыров университет,52.265549992335,76.966909978989,True
92,Павлодарский  педагогический университет,51.3038549,72.7969445,True
93,Инновационный Евразийский университет,52.263230007264,76.959440026879,True
94,Екибастузский Инженерно-технический институт имени К.И. Сатпаева ,51.721110009458,75.296839994982,True
95,Северо-Казахстанский  университет им. М. Козыбаева,54.877290001548,69.132199990159,True
96,Восточно-Казахстанский технический университет им. Д. Серикбаева,49.956665998305,82.586829039541,True
97,Восточно-Казахстанский университет имени С.Аманжолова,49.99435656291,82.661620519561,True
98,Казахстанско-Американский свободный университет,49.950880691618,82.617936770352,True
99,Международный Казахско-Турецкий университет им.Х.А.Ясави,43.283229223254,68.315012343497,True
100,Международный университет туризма и гостеприимства,43.293655233635,68.275884283937,True
101,Alikhan Bokeikhan University ,50.406105285,80.24466215101,True
102,Медицинский университет Семей,50.406003635537,80.248286251471,True
103,Университет имени Шакарима города Семей,50.399047718569,80.212656892935,True
104,Жетысуский университет им.И.Жансугурова,45.008657814473,78.349891984067,True
105,Жезказганский университет им. О.А.Байконурова,47.803466593755,67.715301871167,True
106,ГККП «Строительно-технический колледж» акимата города Астана,51.158933835644,71.525587524066,False
107,ГККП «Колледж общественного питания и сервиса» акимата города Астана,51.1776,71.433,False
108,ГККП «Технологический колледж» акимата города Астана,51.169827152152,71.388127767313,False
109,ГККП «Технический колледж» акимата города Астана,51.174629132284,71.389438067762,False
110,КГУ «Профессионально-технический колледж» акимата города Астана,51.148670358216,71.386617065206,False
111,ГКП на ПХВ «Колледж сериса и туризма» акимата города Астана,51.197337997703,71.395148975493,False
112,ГКП на ПХВ «Высший колледж «ASTANA POLYTECHNIC» акимата города Астана,51.16960580494,71.420475000598,False
113,ГКП на ПХВ «Высший колледж транспорта и коммуникаций» акимата города Астана,51.194697180188,71.397447206987,False
114,ГКП на ПХВ «Высший медицинский колледж» акимата города Астана,51.153533237225,71.507193019346,False
115,Педагогический колледж ТОО «Междунородный университет «Астана»,51.1581969684,71.481998994418,False
116,Учреждение «Высший Торгово-экономический колледж Казпотребсоюза»,51.166718989223,71.449618773279,False
117,ТОО «Колледж Управления»,51.184520307549,71.433218741526,False
118,Колледж иностранных языков «Лингва»,51.154428017863,71.494737971339,False
119,ТОО «Медико-технический колледж»,51.190486536241,71.409313759299,False
120,Колледж «Даналық»,51.183563513301,71.343311179124,False
121,ТОО «Гуманитарно-юридический колледж КазГЮУ»,51.189117015082,71.417818081567,False
122,Колледж «Туран»,51.15785769209,71.436464872899,False
123,Учреждение «Колледж им.Д.А. Кунаева в г.Астане»,51.163804014755,71.491814028235,False
124,ТОО «Казахстанский Швейцарско-Американский колледж туризма и гостиничного дела»,51.1776,71.433,False
125,ТОО «Индустриальный инженерно-экономический колледж»,51.177413953351,71.368912054675,False
126,ТОО «Астанинский технико-экономический колледж»,51.178693805583,71.417211143234,False
127,Колледж АО «Казахский университет технологии и бизнеса»,51.187238894025,71.392855016232,False
128,ТОО «Акмолинский колледж АО «Казахская академиятранспорта и коммуникаций им.М.Тынышпаева»,51.193659012762,71.409928030991,False
129,Учреждение «Колледж Евразийского гуманитарного института»,51.1776,71.433,False
130,Многопрофильный колледж «Парасат»,51.1776,71.433,False
131,"ТОО «Колледж менеджмента, бизнеса и образования»",51.189407585743,71.408175794132,False
132,Колледж НАО ЕНУ им.Л.Н.Гумилева,51.189094559221,71.419128284458,False
133,Учреждение «Колледж городского хозяйства«Астана-Профи»,51.193371010569,71.402766030004,False
134,Учреждение медицинский колледж «Шипагер»,51.196497879548,71.460219030948,False
135,Экономико-юридический колледж,51.17681932579,71.455901623339,False
136,ТОО «Казахстанский международный лингвистический колледж»,51.164827891584,71.411293686487,False
137,ТОО «Медицинский колледж «Томирис»,51.135372235976,71.494602255961,False
138,Колледж ТОО «Республиканская медицинская академия»,51.193199769317,71.459622052494,False
139,Частное учреждение «Колледж медресе Астана»,51.154030665435,71.522025059399,False
140,Колледж информационных технологий при ТОО «Astana IT University»,51.093216081364,71.425580211167,False
141, ,43.211469982384,76.867430031704,False
142,г.Алматы Колледжи государственной формы собственности,43.246355002395,76.929241035566,False
143,ГККП «Алматинский государственный колледж энергетики и электронных технологий»,43.269169998015,76.934947016153,False
144,КГКП «Алматинский колледж транспорта и коммуникаций»,43.29969600928,76.965190012457,False
145,КГКП «Колледж индустрии туризма и гостеприимства»,43.213251506164,76.872329699588,False
146,ГККП «Алматинский казахский государственный гуманитарно-педагогический колледж №1»,43.227984233646,76.804970993159,False
147,ГККП «Алматинский государственный гуманитарно-педагогический колледж №2»,43.249169980757,76.862735998287,False
148,ГККП «Алматинский колледж автомобильной и модной индустрии»,43.233635003322,76.882947029957,False
149,ГККП «Алматинский государственный политехнический колледж»,43.395989995169,76.983789958518,False
150,ГККП «Алматинский государственный колледж сервиса и технологий»,43.173844298382,76.898181675379,False
151,КГКП «Алматинский колледж пассажирского транспорта и технологий»,43.21714997907,76.968549982164,False
152,ГККП «Алматинский государственный бизнес колледж»,43.236889989691,76.855139982353,False
153,КГП на ПХВ «Высший медицинский колледж» УОЗ г.Алматы,43.267961118029,76.919926058929,False
154,КГКП «Алматинский технологический колледж» Управления образования г.Алматы,43.212159980653,76.868099997224,False
155,КГКП «Алматинский колледж моды и дизайна»,43.242303986681,76.892248008816,False
156,КГКП «Алматинский многопрофильный колледж»,43.304539994944,76.91854002742,False
157,КГКП «Алматинский колледж полиграфии»,43.224959984992,76.900391027751,False
158,КГКП «Алматинский автомеханический колледж»,43.268733007493,76.929563990296,False
159,"КГКП «Колледж архитектуры, дизайна и инженерии»",43.334980007883,76.961499963403,False
160,КГКП «Алматинский колледж технологий и флористики»,43.233639990554,76.842980020141,False
161,КГКП «Алматинский колледж телекоммуникаций и машиностроения»,43.229959706417,76.881957881563,False
162,КГКП «Алматинский строительно-технический колледж»,43.252180006007,76.923444027511,False
163,КГКП «Алматинский электромеханический колледж»,43.257044988338,76.931889968427,False
164,ГККП «Специализированная школа-интернат-колледж для одаренных в спорте детей»,43.256489016701,76.910616027615,False
165,УО «Колледж Каспийского общественного университета»,43.353203100937,77.005498268611,False
166,Учреждение Колледж Академии «Кайнар»,43.234448623091,76.930387974706,False
167,АО «Академия гражданской авиации» Авиационный колледж,43.237843012082,76.941118024728,False
168,НАО «Алматинский университет энергетики и связи имени Гумарбека Даукеева» Колледж АУЭС,43.2590567854,76.933310511491,False
169,Учреждение «Университет «Туран» (колледж),43.252000381822,76.928921768874,False
170,Колледж профессионального образования в составе при НАО «Казахский Национальный Женский Педагогический Университет»,43.249318005168,76.9064430133,False
171,НАО «Колледж Казахского национального университета имени аль-Фараби»,43.242194016111,76.841688033585,False
172,НУО «Казахстанско-Российский высший медицинский колледж»,43.20532998685,76.871284030784,False
173,ТОО «Колледж им. Д.А. Кунаева»,43.208265401109,76.912828669783,False
174,"ТОО""Алматинский финансово-экономический колледж""",43.233511998893,76.894606005817,False
175,ТОО «Колледж международного инженерно-технологияеского университета»,43.228619901104,76.927073223948,False
176,ТОО «Колледж «Әділет»,43.26284400805,76.948769025946,False
177,ТОО Медицинский центр «Эмили»,43.44159,77.03874,False
178,УО «Колледж Академия дизайна и технологии «Сымбат»,43.270086014303,76.935177015576,False
179,ТОО «Алматинский технико-экономический колледж путей сообщения»,43.245401016085,76.928747006193,False
180,ТОО «Алматинский колледж академии логистики и транспорта»,43.25371200836,76.923100034205,False
181,ТОО «Педагогический колледж ALT»,43.228619901104,76.927073223948,False
182,Учреждение «Евразийский технико-экономический колледж»,43.243797395255,76.926869059754,False
183,ТОО «Алматинский колледж «Престиж»,43.243797395255,76.926869059754,False
184,Учреждение «Колледж международного сервиса и менеджмента»,43.259115988975,76.922617990953,False
185,УО «Педагогический колледж иностранных языков»,43.2421654516,76.931683510213,False
186,УО «Колледж Менеджмента Междуна-родного Туризма»,43.249976491622,76.899769364588,False
187,"НУО «Казахский колледж физической культуры, туризма и сервиса»",43.253510004493,76.908159459433,False
188,ТОО «Высший Медико-Стоматологический колледж профессора Рузуддинова»,43.259115988975,76.922617990953,False
189,ЧУ «Высший казахско-турецкий гуманитарно-технологический колледж»,43.255281980734,76.938805038547,False
190,УО «Лингвистический колледж»,43.2790761004,76.959837770715,False
191,УО «Алматинский колледж экономики и современных технологий»,43.266626006582,76.931833977314,False
192,Учреждение «Международный колледж бизнеса и коммуникаций»,43.252614020953,76.932129020305,False
193,НЧУ «Алматинский технологическо-финансовый и инновационно-технический колледж»,43.205862496508,76.85611403718,False
194,ТОО «Высший медицинский колледж «Интердент»,43.236144419404,76.828562392308,False
195,ТОО «Медицинский Колледж «Авимед»,43.237160012702,76.858970009191,False
196,ТОО «Инновационный колледж города Алматы»,45.03972,75.07554,False
197,ЮКА «Юридический колледж г.Алматы»,43.1991300188,76.842069996913,False
198,Учреждение «Алматинский технико-экономический колледж связи»,43.218229987295,76.872309975732,False
199,Учреждение «Экономический колледж университета Нархоз»,43.178013015046,76.921947831839,False
200,ТОО «Многопрофильный колледж «АдилМед»»,43.228971982947,76.861895963951,False
201,ЧУ «Международный казахско-китайский языковой колледж»,43.241900020857,76.946499960938,False
202,ТОО «Алматинский колледж строительства и менеджмента»,43.251591009671,76.913682965987,False
203,УО Гуманитарный колледж «КазНур»,43.19644898325,76.88542002667,False
204,УО «Алматинский колледж менеджмента и сервиса»,43.235226014273,76.893735964267,False
205,Учреждение «Алматинский медицинский колледж «ДИМЕД»,43.267018415687,76.934569814383,False
206,ТОО «Колледж «Международной Академии Бизнеса»,43.202190000192,76.871549988571,False
207,ТОО «Алматинский колледж связи-Школа при КАУ»,43.204999111223,76.87493401434,False
208,ТОО «Колледж–Школа КазГАСА»,43.317853013667,76.937499976222,False
209,УО «Колледж «Аяжан»,43.241005210784,76.957497101723,False
210,УО «Центральноазиатский технико-экономический колледж»,43.267495712856,76.93284449956,False
211,Учреждение «Евразийский аграрный колледж»,43.241005210784,76.957497101723,False
212,УО «Алматинский колледж железнодорожного транспорта»,43.252305986012,76.855998959791,False
213,Учреждение «Алматинский автомобильно-дорожный колледж»,43.267033995719,76.954959983451,False
214,ТОО «Организация образования колледж «Перспектива»,43.239761001076,76.913132023491,False
215,ТОО «Инновационный технический колледж г.Алматы»,43.256899981413,76.959240034669,False
216,ТОО «Республиканский высший медицинский колледж»,43.269499993543,76.95264004029,False
217,ЧУ «Колледж медресе Абу Ханифа»,43.255281980734,76.938805038547,False
