,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
474,474,489,489,489,КГКП «Карасуский сельскохозяйственный колледж» Управления образования акимата Костанайской области,Костанайская область,True,"Сарыкольский район,
п. Сарыколь,
 ул.Гагарина, . 1","Костанайская область, Сарыкольский район,
п. Сарыколь,
 ул.Гагарина, . 1",53.329249086477,65.524593407998
475,475,490,490,490,КГКП «Сарыкольский колледж агробизнеса и права» Управления образования акимата Костанайской области,Костанайская область,True,"Федоровский р-н,
с. Жарколь
ул. Школьная 6А","Костанайская область, Федоровский р-н,
с. Жарколь
ул. Школьная 6А",53.643710517159,62.71290443964
476,476,491,491,491,КГКП «Федоровский сельскохозяйственный колледж» Управления образования акимата Костанайской области,Костанайская область,True,"г. Аркалык.
пр. Абая, 25.","Костанайская область, г. Аркалык.
пр. Абая, 25.",50.253976881622,66.9120003874
477,477,492,492,492,ГККП «Аркалыкский медицинский колледж» Управление здравоохранения акимата Костанайской области,Костанайская область,True,"г. Костанай,
ул. Баймагамбетова, 181,","Костанайская область, г. Костанай,
ул. Баймагамбетова, 181,",53.213655600889,63.625655976881
478,478,493,493,493,КГП «Костанайский высший медицинский колледж» Управление здравоохранения акимата Костанайской области,Костанайская область,True,"г.Аркалык
ул. С.Мауленова 26","Костанайская область, г.Аркалык
ул. С.Мауленова 26",50.265534326799,66.935796519314
479,479,494,494,494,Учреждение «Аркалыкский многопрофильный колледж Казпотребсоюза»,Костанайская область,True,"г. Костанай, ул.Л.Беды 237/2","Костанайская область, г. Костанай, ул.Л.Беды 237/2",53.2087758,63.6184076
480,480,495,495,495,Учреждение «Колледж «Зерек»,Костанайская область,True,"г.Костанай,
ул.Аль-Фараби 67,","Костанайская область, г.Костанай,
ул.Аль-Фараби 67,",53.212310389249,63.635418128052
481,481,496,496,496,Учреждение «Костанайский гуманитарный колледж»,Костанайская область,True,"ул.Аль-Фараби,  67","Костанайская область, ул.Аль-Фараби,  67",53.212310389249,63.635418128052
482,482,497,497,497,"Учреждение «Костанайский колледж»
г.Костанай,",Костанайская область,True,"Г. Костанай, 
ул. Тауелсиздик, 118Б","Костанайская область, Г. Костанай, 
ул. Тауелсиздик, 118Б",53.220246417085,63.626751575445
483,483,498,498,498,Учреждение «Костанайский социально-технический колледж»,Костанайская область,True,"г.Костанай, ул.Чернышевского 59","Костанайская область, г.Костанай, ул.Чернышевского 59",53.202511902527,63.597729487157
